Film ID,Film Title,Year of Release,Disability Represented,Category of Disability,Final Location,Final Location State,Final Location Country,Latitude,Longitude
1,Tough Guys,1974,Post-traumatic stress disorder (PTSD),Mental Health Disabilities,Chicago,Illinois,United States,41.8958413,-87.6356943
1,Tough Guys,1974,Post-traumatic stress disorder (PTSD),Mental Health Disabilities,Illinois,Illinois,United States,40.0761545,-88.2233134
2,Homecoming,2018,Post-traumatic stress disorder (PTSD),Mental Health Disabilities,Lake Arrowhead,California,United States,34.2593046,-117.185766
2,Homecoming,2018,Post-traumatic stress disorder (PTSD),Mental Health Disabilities,Running Springs,California,United States,34.1962539,-117.0963367
3,The Last of Us Part II,2020,"Immunity to a fungal infection, Post-traumatic stress disorder (PTSD)",Mental Health Disabilities,Jackson,Wyoming,United States,41.308104,-105.631851
3,The Last of Us Part II,2020,"Immunity to a fungal infection, Post-traumatic stress disorder (PTSD)",Mental Health Disabilities,Wyoming,Wyoming,United States,32.3012717,-90.1910589
3,The Last of Us Part II,2020,"Immunity to a fungal infection, Post-traumatic stress disorder (PTSD)",Mental Health Disabilities,Seattle,Washington,United States,41.2996824,-105.5806391
3,The Last of Us Part II,2020,"Immunity to a fungal infection, Post-traumatic stress disorder (PTSD)",Mental Health Disabilities,Washington,District of Columbia,United States,47.6020234,-122.339864
3,The Last of Us Part II,2020,"Immunity to a fungal infection, Post-traumatic stress disorder (PTSD)",Mental Health Disabilities,Salt Lake City,Utah,United States,38.8898398,-77.0402691
3,The Last of Us Part II,2020,"Immunity to a fungal infection, Post-traumatic stress disorder (PTSD)",Mental Health Disabilities,Santa Barbara,California,United States,38.8939168,-77.0426534
3,The Last of Us Part II,2020,"Immunity to a fungal infection, Post-traumatic stress disorder (PTSD)",Mental Health Disabilities,California,California,United States,40.7608472,-111.9087957
3,The Last of Us Part II,2020,"Immunity to a fungal infection, Post-traumatic stress disorder (PTSD)",Mental Health Disabilities,Catalina Island,,,34.4221319,-119.702667
4,The Last of Us: Left Behind,2014,Immunity to a fungal infection,Chronic Illnesses & Conditions,Baton Rouge,Louisiana,United States,34.625739,-118.0826393
4,The Last of Us: Left Behind,2014,Immunity to a fungal infection,Chronic Illnesses & Conditions,Louisiana,Louisiana,United States,36.728212,-120.666589
5,The Last of Us ,2023,Immunity to a fungal infection,Chronic Illnesses & Conditions,,,,36.7014631,-118.755997
6,Dibs in Search of Self,1964,"Emotional and behavioral issues, trauma",Mental Health Disabilities,,,,37.3543765,-122.051352
7,Casualty,1986,Post-traumatic stress disorder (PTSD),Mental Health Disabilities,London,England,United Kingdom,18.3588724,-69.0081006
7,Casualty,1986,Post-traumatic stress disorder (PTSD),Mental Health Disabilities,Oxford,England,United Kingdom,30.4847855,-91.1867561
7,Casualty,1986,Post-traumatic stress disorder (PTSD),Mental Health Disabilities,Bristol,England,United Kingdom,30.4062005,-91.1854129
8,Jackson,2008,"Dyslexia, ADHD",Cognitive & Intellectual Disabilities,Los Angeles,California,United States,31.629982,-91.5590485
8,Jackson,2008,"Dyslexia, ADHD",Cognitive & Intellectual Disabilities,California,California,United States,38.8939168,-77.0426534
9,Hank Zipzer ,2014,Dyslexia,Cognitive & Intellectual Disabilities,Halifax,West Yorkshire,United Kingdom,38.8939168,-77.0426534
10,Hank Zipzers Christmas Catastrophe,2016,Dyslexia,Cognitive & Intellectual Disabilities,Bradford,England,United Kingdom,51.5074456,-0.1277653
11,Holes,2003,Dyslexia,Cognitive & Intellectual Disabilities,Cuddeback Dry Lake,California,United States,51.5004089,-0.128135
11,Holes,2003,Dyslexia,Cognitive & Intellectual Disabilities,California,California,United States,51.7534512,-1.2699542
11,Holes,2003,Dyslexia,Cognitive & Intellectual Disabilities,Red Rock Canyon State Park,California,United States,39.5103048,-84.7420519
11,Holes,2003,Dyslexia,Cognitive & Intellectual Disabilities,Trona,California,United States,51.450363,-2.600511
11,Holes,2003,Dyslexia,Cognitive & Intellectual Disabilities,Santa Clarita,California,United States,51.83333,-2.16667
12,The Young Victoria,2009,Dyslexia,Cognitive & Intellectual Disabilities,London,England,United Kingdom,41.6770463,-71.2661597
12,The Young Victoria,2009,Dyslexia,Cognitive & Intellectual Disabilities,Arundel,West Sussex,United Kingdom,34.0536909,-118.242766
12,The Young Victoria,2009,Dyslexia,Cognitive & Intellectual Disabilities,Greater London,England,United Kingdom,34.625739,-118.0826393
12,The Young Victoria,2009,Dyslexia,Cognitive & Intellectual Disabilities,England,England,United Kingdom,36.728212,-120.666589
12,The Young Victoria,2009,Dyslexia,Cognitive & Intellectual Disabilities,UK,,United Kingdom,36.7014631,-118.755997
12,The Young Victoria,2009,Dyslexia,Cognitive & Intellectual Disabilities,Grantham,Lincolnshire,United Kingdom,37.3543765,-122.051352
12,The Young Victoria,2009,Dyslexia,Cognitive & Intellectual Disabilities,Leicestershire,Leicestershire,United Kingdom,44.6396777,-63.5679567
12,The Young Victoria,2009,Dyslexia,Cognitive & Intellectual Disabilities,Oxfordshire,Oxfordshire,United Kingdom,53.7208399,-1.8536277
12,The Young Victoria,2009,Dyslexia,Cognitive & Intellectual Disabilities,East Molesey,Surrey,United Kingdom,53.8043304,-1.7593828
12,The Young Victoria,2009,Dyslexia,Cognitive & Intellectual Disabilities,Surrey,Surrey,United Kingdom,,
13,Devil Girl from Mars,1954,Dyslexia,Cognitive & Intellectual Disabilities,Shepperton,England,United Kingdom,34.625739,-118.0826393
14,The Cuckoos Calling,2013,Prosthetic Leg,Physical Disabilities,London,England,United Kingdom,36.728212,-120.666589
14,The Cuckoos Calling,2013,Prosthetic Leg,Physical Disabilities,Mayfair,England,United Kingdom,36.7014631,-118.755997
14,The Cuckoos Calling,2013,Prosthetic Leg,Physical Disabilities,Hoxton,England,United Kingdom,37.3543765,-122.051352
15,Percy Jackson & the Olympians,2010,ADHD and dyslexia,Cognitive & Intellectual Disabilities,Montreal,Quebec,Canada,,
15,Percy Jackson & the Olympians,2010,ADHD and dyslexia,Cognitive & Intellectual Disabilities,Longueuil,Quebec,Canada,35.8163315,-117.3270663
15,Percy Jackson & the Olympians,2010,ADHD and dyslexia,Cognitive & Intellectual Disabilities,Quebec,Quebec,Canada,34.4137196,-118.5250277
15,Percy Jackson & the Olympians,2010,ADHD and dyslexia,Cognitive & Intellectual Disabilities,Los Angeles,California,United States,51.5074456,-0.1277653
15,Percy Jackson & the Olympians,2010,ADHD and dyslexia,Cognitive & Intellectual Disabilities,Las Vegas,Nevada,United States,51.5004089,-0.128135
16,Edith+Eddie,2017,Dementia,Neurological Disabilities,Virginia,Virginia,United States,50.8545383,-0.5648163
17,Hanna,2011,Dyslexia,Cognitive & Intellectual Disabilities,KemijÃ¤rvi,Lapland,Finland,50.8480121,-0.5462656
17,Hanna,2011,Dyslexia,Cognitive & Intellectual Disabilities,Ruka,Pohjois-Pohjanmaa,Finland,51.521306,-0.081515
17,Hanna,2011,Dyslexia,Cognitive & Intellectual Disabilities,Berlin,,Germany,51.5635091,-1.7933058
18,"Danny, the Champion of the World",1989,Injury,Physical Disabilities,Hambleden,Buckinghamshire,United Kingdom,54.7023545,-3.2765753
18,"Danny, the Champion of the World",1989,Injury,Physical Disabilities,Marlow,Buckinghamshire,United Kingdom,52.913192,-0.6438974
18,"Danny, the Champion of the World",1989,Injury,Physical Disabilities,Hurley,Berkshire,United Kingdom,52.6948855,-1.2253642
19,The BFG,1989,Giant,Fictional Disabilities,Giant Country,,,52.0729955,-1.3680624
19,The BFG,1989,Giant,Fictional Disabilities,London,England,United Kingdom,51.399102,-0.3571356
20,Matilda the Musical,2022,Telekinetic powers,Fictional Disabilities,Bramshill,England,United Kingdom,51.2715316,-0.3414524
20,Matilda the Musical,2022,Telekinetic powers,Fictional Disabilities,Dunstable,England,United Kingdom,51.25357,-0.2810881
20,Matilda the Musical,2022,Telekinetic powers,Fictional Disabilities,Denham Village,England,United Kingdom,49.1895143,-122.847876
21,Dislecksia: The Movie,2009,Dyslexia,Cognitive & Intellectual Disabilities,Litchfield,Connecticut,United States,51.3939186,-0.448674
22,The Little Stranger,2018,Facial disfigurement,Physical Disabilities,Kings Langley,England,United Kingdom,51.5074456,-0.1277653
22,The Little Stranger,2018,Facial disfigurement,Physical Disabilities,Skelton-on-Ure,England,United Kingdom,51.5004089,-0.128135
23,Wild Bill,2011,Dyslexia,Cognitive & Intellectual Disabilities,Isle of Wight,England,United Kingdom,51.5110872,-0.147058
23,Wild Bill,2011,Dyslexia,Cognitive & Intellectual Disabilities,Stratford-upon-Avon,England,United Kingdom,51.5323935,-0.086078
23,Wild Bill,2011,Dyslexia,Cognitive & Intellectual Disabilities,London,England,United Kingdom,45.5031824,-73.5698065
23,Wild Bill,2011,Dyslexia,Cognitive & Intellectual Disabilities,Newham,England,United Kingdom,52.00017,-71.99907
